item,value
vieron intentaron correr,1
intentaron correr,1
correr,1
cayeron,1
corriendo,2
augusto,4
aron,1
interceptaron,8
allí avisó,1
avisó,1
ejecutaran,1
también participaron,1
reunió,1
era dada,1
pagó,1
incinerar,2
ropero,2
fueron quemados,1
quemados,1
estuve,6
mataron,7
cogimos,1
llamaron,2
baje,1
efectuó,4
araque informe,1
plenamente identificado,1
araque presenta,1
presenta,147
habían sido asesinados,1
sido asesinados,1
posteriormente arrojaron,1
arrojaron,9
confeso,1
pertenecieron,5
hirieron,2
fueron arrojados,2
arrojados,3
participo,2
explica,2
legalizan,4
retenida,13
trasladada,11
esté,4
obligada,9
sostener,12
resultando,6
sometida,8
generó,18
dejada,5
regresar,9
recibida,4
endilgó,1
fueron adecuados,1
adecuados,1
accedida,35
intimidando,2
amenazando,6
resulto,6
abortar,1
efectuada,1
adscrita,7
irrumpieron,26
trasladarla,4
atada,1
posteriormente golpearla,1
golpearla,15
interrogarla,1
dejarla,5
aprovechada,3
accederla,43
anotar,1
fueron trasladadas,6
impedir,3
condujo,5
fueron sometidas,2
sometidas,2
trajo,3
haya previsto,1
previsto,1
ofreció,12
padecer,1
dejó,16
cuestionó,1
amenazó,10
padece,1
aportó,57
fueron interceptadas,8
interceptadas,8
llevarse,11
sufriendo,2
cuestionarla,1
destruyeron,7
continuaron,4
colocarle,2
golpeada,3
introducirle,2
decidieron,28
decidieron abandonarla,1
abandonarla,2
auxiliada,3
fuera atendida,1
atendida,1
arjonabolívar,1
accedieron,29
golpear,4
golpear ultrajar,1
ultrajar,1
fueron accedidas,2
accedidas,2
fueron contagiadas,1
contagiadas,1
sufre,1
logró huir,1
condicionaron,1
desplazaron,81
verifica,1
ya había,2
había accedido,1
accedido,2
ya había accedido,1
repitió,5
ser localizado,1
localizado,3
subir,12
arrojado,11
entrevista,191
montería,1
departieron,2
reclamándole,1
había vendido,3
vendido,3
posteriormente procedió,1
amenazarla,1
obligó,16
cruzó,1
correspondían,2
acusada,1
llevada,9
bar,1
desplegando,2
advierte,4
hicieron bajar,4
bajar,14
exigieron bajar,1
obligaron asostener,1
asostener,1
forzaron,1
sufrió,9
aparece,65
isaías,2
trasladó,18
reunirse,4
obteniendo,2
sumaría,11
abordada,7
subirse,11
accedió,37
posteriormente continuó,3
proceder valiéndose,1
valiéndose,1
fecha,4
arce,2
era cuestionada,1
cuestionada,1
exigió,3
certifica,16
desplazada,17
notifica,1
solicita,12
fija,2
cgnpf-dsce-138-2013,1
saquearon,4
correa,9
repetirse,1
volvió,2
ponerla,1
abusada,4
trayendo,1
amenazada,7
haber mandado,1
mandado,2
vivir,7
había hecho saber,1
hecho saber,1
cédula,60
condujeron,29
repitiéndose,2
ser obligada,1
vestir,3
desempeñar,1
dileni,1
desnudarse,1
decidieron desplazarse,4
quedaron,9
atar,4
amordazar,1
así mismo expone,2
mismo expone,2
expone,3
negado,2
pagar,8
estaban exigiendo,1
exigiendo,3
decidió desplazarse,11
agrediendo,1
encontrada,2
haber sido drogada,1
sido drogada,1
drogada,1
abrieran,1
seguidamente procedieron,1
atarlas,1
posteriormente fueron,5
fueron quemadas,2
quemadas,2
posteriormente fueron quemadas,1
había escapado,1
escapado,1
había escapado procedieron,1
escapado procedieron,1
ocasionarle,2
emilie,1
conducida,10
piñuela,1
acecharla,1
ser llevados,2
son referenciadas,1
referenciadas,1
ángel,2
igualmente presenta,1
martínez,11
recolectando,1
procedieron accederla,1
allí ingresaron,1
contagiada,1
consumieron,2
cancelar,4
logró escapar,2
escapar,5
ingresaron destruyendo,2
destruyendo,5
fueron abordadas,3
abordadas,3
subieron,32
accediendo,1
haber hecho,1
entregada,10
serrano,5
amenazaron,16
apoderaron,7
retuvieron,33
aprovechó,2
torturar,1
agredir,6
desconoce,81
son retenidos,1
retenidos,23
lograron huir,2
apropiaron,12
era sometida,1
amedrentar,1
no desocuparan,1
desocuparan,7
accederlo,1
escondían,1
solicitarle,1
agredido,3
defenderse,2
huyó,3
no encontrar,1
encontrar,3
atarla,1
violenta,2
violenta seguidamente autorizó,1
seguidamente autorizó,1
autorizó,4
arrojar,1
apuntarle,2
debían abandonar,6
accederlas,1
causando,8
ataron,4
transportaron,5
ofrecieron,6
llevarlas,2
trasaladaron,1
accede,3
continuó abusando,1
abusando,1
abusar,4
dejándola,4
realizando,6
leonor,13
venía,3
venía huyendo,1
golpearla llevarla,1
llevarla,3
militó,7
cortarle,1
debía hacer,1
haber protagonizado,1
protagonizado,1
bajaron,14
agredieron,1
fotocopia,5
reside,4
movieran,1
movieran procederían,1
procederían,1
manifestándole,4
permanecieron,10
aportò,2
no aceptar,1
habían asistido,1
asistido,1
eran transportados,1
transportados,3
haber desafiado,1
desafiado,1
desplazò,1
troya,1
seguidamente procedió,1
advirtiéndole,1
sostuviera,1
desenfundar,1
pretendió,1
pretendió accederla,1
pretendió accederla carnalmente usando,1
accederla carnalmente usando,1
carnalmente usando,1
usando,7
marchó,2
apartaron,1
golpearon,14
incendiar,3
permitieron entrar,1
apuntándolos,1
también procedió,1
también fueron,3
también fueron trasladadas,1
apoderó,5
interrogándolo,1
había pasado,2
pasado,4
diciéndole,19
encubrir,1
retuvo,5
solicitando,12
solicitando realizar,1
haber sido accedida,2
sido accedida,2
vinculada,2
amordazarla,1
amordazarla atarle,1
atarle,1
abusó,3
hicieron subir,1
colocaron,2
continuó repitiéndose,1
torturarla,1
torturarla arrojándole,1
arrojándole,1
respirar,1
solicita realizar,1
mantuvo,7
haga,1
-2013,1
fueron torturadas,3
torturadas,4
acidó,1
daza,2
tuvieran,3
serna,30
pantoja,1
pantoja polo,1
polo,9
solicitándole,2
prepara,1
quedándose,1
era conocido,20
preguntando,12
desnudarla,1
tocarla,2
tocarla no,1
abstuvieron,1
fueron rasgados,1
rasgados,1
díaz,15
argel,7
acosarla,1
amenazó diciéndole,1
verla,2
trabajar,27
estar,18
afuera habían,1
iba preguntando,1
pusieron,1
logro,1
logro escapar,1
dejaran,2
dejaran ir,1
debían entregar,1
quitarse,2
abusarla,1
terminaron,2
hurtaron,20
obliga,3
quite,1
intentó,4
intentó accederla,1
llega,5
percatarse sale,1
abandona,2
pasaron,5
había estado,2
estado,4
había estado regresa,1
estado regresa,1
amenaza,4
quitarle,6
regresaran,2
declara,7
allí perdió,1
volviendo,1
recoge,2
entera,6
no denuncia,1
dirige,6
anunció,1
iba averiguar,1
naciendo,2
transcurría,1
abuso,1
atraviesa,1
vistiendo,8
exige,1
tenga,15
no quedándole,1
quedándole,1
acude,2
lobo,1
guarda,1
además sometió,1
sometió,3
logró escaparse,1
escaparse,2
envié,1
quede,3
obligando,4
comunicar,1
buscarlo,7
no grite,1
grite,1
transportando,5
rincon,1
constar,20
quintero entrevista,1
agarraron,4
metieron,4
desnudaron,2
empezaron,7
prestando,2
debían irse,1
salieron,35
oscureció,1
apareció,16
aparece inscrita,2
inscrita,8
cantinabar,1
compartir,2
dispuso,2
dispuso dar,1
reportando,11
certificado,1
no1,1
escuela,1
